make,model,mileage,fuel-type,first-registration,price,price_label,position,seller_name,seller_location,listing_zip_code,listing_url,title,drive_type,extended_range,car_type
ford,mustang mach-e,30075,e,04-2023,44500,fair-price,79,Ford Unicars Roeselare en Ieper Sterrenbeoordeling 5 van 5 (4),Robbe Depoorter • BE-8800 Roeselare,8800,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-91kwh-272kw-extended-range-premium-awd-elektrisch-wit-40ac270d-a425-4faf-9cc7-386948af7451,Ford Mustang Mach-E 91kWh 272kW Extended Range Premium AWD,AWD,yes,Premium
ford,mustang mach-e,38130,e,09-2022,47490,fair-price,80,Jaguar Land Rover Liège Sterrenbeoordeling 5 van 5 (12),François Randaxhe • BE-4671 Barchon,4671,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-gt-4x4-awd-approved-elektrisch-grijs-42db8ed9-b559-4db8-b365-455083bbc458,Ford Mustang Mach-E GT-4x4-AWD-Approved,AWD,yes,GT
ford,mustang mach-e,19843,e,01-2023,46435,unknown,81,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-awd-99kwh-extended-range-351ch-a1-gar-12-2030-elektrisch-blauw-69fbb1f7-f70a-447c-913b-d8d24de5eb8a,Ford Mustang Mach-E AWD 99kWh Extended Range 351ch-A1 GAR 12/2030,AWD,yes,Premium
ford,mustang mach-e,10000,e,06-2024,62950,somewhat-expensive,82,Van Mossel Fordstore Leuven Sterrenbeoordeling 5 van 5 (34),BE-3020 HERENT,3020,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-ext-range-awd-b-o-camera-360-elektrisch-grijs-e3beffcd-a3d7-475a-8e7f-32a7fedba0fa,Ford Mustang Mach-E PREMIUM Ext. Range AWD - B&O - Camera 360,AWD,yes,Premium
ford,mustang mach-e,88733,e,08-2021,32950,expensive,83,Garage Boes & Zn Sterrenbeoordeling 3.5 van 5 (3),Frank Boes • BE-3830 WELLEN,3830,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-elektrisch-grijs-52078dc2-828e-4190-9f0a-fcf6bf7f7aee,Ford Mustang Mach-E,unknown,unknown,unknown
ford,mustang mach-e,28900,e,06-2023,57950,fair-price,84,Van Mossel Ford Deurne Sterrenbeoordeling 5 van 5 (13),BE-2100 Deurne,2100,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-gt-awd-99kwh-489pk-490km-range-elektrisch-grijs-dce2b2e2-6e85-44ee-9ec2-431a41ffb3b4,Ford Mustang Mach-E GT AWD 99kWh - 489pk - 490km Range -,AWD,yes,GT
ford,mustang mach-e,10000,e,04-2025,59950,somewhat-expensive,85,Van Mossel Fordstore Wilrijk Sterrenbeoordeling 4.5 van 5 (5),Leo Deprince • BE-2610 Antwerpen,2610,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99kwh-216kw-extended-range-premium-rwd-elektrisch-groen-a1bcb188-ca6f-42b9-bfe8-c47cd7d208bb,Ford Mustang Mach-E 99kWh 216kW Extended Range Premium RWD,RWD,yes,Premium
ford,mustang mach-e,39321,e,06-2021,42298,unknown,86,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-awd-99kwh-extended-range-351cv-258kw-a1-elektrisch-grijs-d8e60a0f-0f74-4ae0-babc-0b3c00851f3d,Ford Mustang Mach-E AWD 99kWh Extended Range 351CV/258kW - A1,AWD,yes,Premium
ford,mustang mach-e,21710,e,10-2023,56000,expensive,87,Ford Unicars Brugge Sterrenbeoordeling 4 van 5 (5),Kris Durie • BE-8000 Brugge,8000,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-rwd-long-range-99-kwh-294pk-elektrisch-blauw-42643048-bcf1-4dea-92fe-cdbb4091e8a8,Ford Mustang Mach-E Premium RWD - Long Range 99 kWh - 294PK,RWD,yes,Premium
ford,mustang mach-e,35201,e,09-2022,42990,fair-price,88,Ford Unicars Roeselare en Ieper Sterrenbeoordeling 5 van 5 (4),Robbe Depoorter • BE-8800 Roeselare,8800,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-rwd-er-99kw-294pk-600km-bereik-btw-wagen-elektrisch-a6826987-f595-46a3-889a-8e5c71cdab6c,Ford Mustang Mach-E RWD ER - 99kW - 294pk - 600km bereik - BTW wagen,RWD,yes,unknown
